model,valid_pr_auc,test_roc_auc,test_pr_auc,threshold,test_precision,test_recall,test_f1
baseline (always predicts training rate),0.37477672797151973,0.5,0.3473988490248438,0.41,0.3473988490248438,1.0,0.5156585212704725
logistic_regression,0.9396056210749019,0.9586000202913559,0.9383923061938061,0.499,0.9204165444411851,0.7959867069179837,0.8536913847284006
xgboost,0.9566371703039263,0.9681520924651358,0.9527103546236216,0.5389999747276306,0.9370210727969349,0.7941348080874705,0.8596811622063246
lightgbm,0.9575879411183836,0.9691448043123466,0.9534774344865445,0.585,0.9408143655035733,0.7948197569699891,0.8616768196256928
